27.46233,0,48.5
27.47533,0.02795,48.5
27.49483,0.0416,48.5
27.52733,0.05785,48.5
27.59233,0.0793,48.5
27.65733,0.0936,48.5
27.72233,0.10465,48.5
27.78733,0.11375,48.5
27.85233,0.12155,48.5
27.91733,0.1287,48.5
27.98233,0.13455,48.5
28.04733,0.13975,48.5
28.11233,0.14495,48.5
28.17733,0.1495,48.5
28.24233,0.1534,48.5
28.30733,0.1573,48.5
28.37233,0.1612,48.5
28.43733,0.16445,48.5
28.50233,0.1677,48.5
28.56733,0.1703,48.5
28.63233,0.1729,48.5
28.69733,0.1755,48.5
28.76233,0.17745,48.5
28.82733,0.1794,48.5
28.89233,0.18135,48.5
28.95733,0.1833,48.5
29.02233,0.18525,48.5
29.08733,0.18655,48.5
29.15233,0.18785,48.5
29.21733,0.18915,48.5
29.28233,0.19045,48.5
29.34733,0.19175,48.5
29.41233,0.1924,48.5
29.47733,0.19305,48.5
29.54233,0.1937,48.5
29.60733,0.19435,48.5
29.67233,0.195,48.5
29.73733,0.19565,48.5
29.80233,0.19565,48.5
29.86733,0.19565,48.5
29.93233,0.19565,48.5
29.99733,0.19565,48.5
30.06233,0.19565,48.5
30.12733,0.19565,48.5
30.19233,0.195,48.5
30.25733,0.19435,48.5
30.32233,0.1937,48.5
30.38733,0.19305,48.5
30.45233,0.1924,48.5
30.51733,0.19175,48.5
30.58233,0.1911,48.5
30.64733,0.1898,48.5
30.71233,0.1885,48.5
30.77733,0.1872,48.5
30.84233,0.1859,48.5
30.90733,0.1846,48.5
30.97233,0.1833,48.5
31.03733,0.18135,48.5
31.10233,0.1794,48.5
31.16733,0.17745,48.5
31.23233,0.1755,48.5
31.29733,0.17355,48.5
31.36233,0.17095,48.5
31.42733,0.16835,48.5
31.49233,0.16575,48.5
31.55733,0.16315,48.5
31.62233,0.16055,48.5
31.68733,0.1573,48.5
31.75233,0.15405,48.5
31.81733,0.1508,48.5
31.88233,0.14755,48.5
31.94733,0.1443,48.5
32.01233,0.14105,48.5
32.07733,0.13715,48.5
32.14233,0.13325,48.5
32.20733,0.12935,48.5
32.27233,0.12545,48.5
32.33733,0.12155,48.5
32.40233,0.11765,48.5
32.46733,0.1131,48.5
32.53233,0.10855,48.5
32.59733,0.104,48.5
32.66233,0.09945,48.5
32.72733,0.0949,48.5
32.79233,0.09035,48.5
32.85733,0.0858,48.5
32.92233,0.0806,48.5
32.98733,0.0754,48.5
33.05233,0.0702,48.5
33.11733,0.065,48.5
33.18233,0.0598,48.5
33.24733,0.0546,48.5
33.31233,0.0494,48.5
33.37733,0.0442,48.5
33.44233,0.03835,48.5
33.50733,0.0325,48.5
33.57233,0.02665,48.5
33.63733,0.0208,48.5
33.70233,0.01495,48.5
33.76733,0.0091,48.5
33.83233,0.0026,48.5
33.89733,-0.0039,48.5
33.96233,-0.0104,48.5
33.96233,-0.03575,48.5
33.89733,-0.0299,48.5
33.83233,-0.02535,48.5
33.76733,-0.0221,48.5
33.70233,-0.02015,48.5
33.63733,-0.01885,48.5
33.57233,-0.0182,48.5
33.50733,-0.0182,48.5
33.44233,-0.01885,48.5
33.37733,-0.02015,48.5
33.31233,-0.0221,48.5
33.24733,-0.02405,48.5
33.18233,-0.02665,48.5
33.11733,-0.02925,48.5
33.05233,-0.0325,48.5
32.98733,-0.03575,48.5
32.92233,-0.039,48.5
32.85733,-0.0429,48.5
32.79233,-0.0468,48.5
32.72733,-0.0507,48.5
32.66233,-0.0546,48.5
32.59733,-0.0585,48.5
32.53233,-0.06305,48.5
32.46733,-0.0676,48.5
32.40233,-0.07215,48.5
32.33733,-0.0767,48.5
32.27233,-0.08125,48.5
32.20733,-0.0858,48.5
32.14233,-0.09035,48.5
32.07733,-0.0949,48.5
32.01233,-0.09945,48.5
31.94733,-0.104,48.5
31.88233,-0.10855,48.5
31.81733,-0.1131,48.5
31.75233,-0.11765,48.5
31.68733,-0.1222,48.5
31.62233,-0.12675,48.5
31.55733,-0.13065,48.5
31.49233,-0.13455,48.5
31.42733,-0.13845,48.5
31.36233,-0.14235,48.5
31.29733,-0.14625,48.5
31.23233,-0.15015,48.5
31.16733,-0.15405,48.5
31.10233,-0.15795,48.5
31.03733,-0.1612,48.5
30.97233,-0.16445,48.5
30.90733,-0.1677,48.5
30.84233,-0.17095,48.5
30.77733,-0.17355,48.5
30.71233,-0.17615,48.5
30.64733,-0.17875,48.5
30.58233,-0.18135,48.5
30.51733,-0.1833,48.5
30.45233,-0.18525,48.5
30.38733,-0.1872,48.5
30.32233,-0.18915,48.5
30.25733,-0.19045,48.5
30.19233,-0.19175,48.5
30.12733,-0.19305,48.5
30.06233,-0.1937,48.5
29.99733,-0.19435,48.5
29.93233,-0.195,48.5
29.86733,-0.19565,48.5
29.80233,-0.19565,48.5
29.73733,-0.19565,48.5
29.67233,-0.19565,48.5
29.60733,-0.19565,48.5
29.54233,-0.195,48.5
29.47733,-0.19435,48.5
29.41233,-0.1937,48.5
29.34733,-0.19305,48.5
29.28233,-0.1924,48.5
29.21733,-0.1911,48.5
29.15233,-0.1898,48.5
29.08733,-0.1885,48.5
29.02233,-0.1872,48.5
28.95733,-0.18525,48.5
28.89233,-0.1833,48.5
28.82733,-0.18135,48.5
28.76233,-0.1794,48.5
28.69733,-0.1768,48.5
28.63233,-0.1742,48.5
28.56733,-0.1716,48.5
28.50233,-0.16835,48.5
28.43733,-0.1651,48.5
28.37233,-0.16185,48.5
28.30733,-0.15795,48.5
28.24233,-0.15405,48.5
28.17733,-0.1495,48.5
28.11233,-0.14495,48.5
28.04733,-0.13975,48.5
27.98233,-0.1339,48.5
27.91733,-0.12805,48.5
27.85233,-0.12155,48.5
27.78733,-0.11375,48.5
27.72233,-0.10465,48.5
27.65733,-0.0936,48.5
27.59233,-0.0793,48.5
27.52733,-0.05785,48.5
27.49483,-0.0416,48.5
27.47533,-0.02795,48.5
27.46233,-0.1248,48.5
